|id |nombre                                                |descripcion                            |precio   |stock |imagen                                                              |categoria_id|
|---|------------------------------------------------------|---------------------------------------|---------|------|--------------------------------------------------------------------|------------|
|19 |fideo matarazzo p.rigati libre glu 500gr              |Matarazzo                              |4.143,39 |200   |productos/fideo_matarazzo_p.rigati_libre_glu_500gr.webp             |16          |
|20 |fideo matarazzo spagueti libre glu 500gr              |Matarazzo                              |4.402,39 |298   |productos/fideo_matarazzo_spagueti_libre_glu_500gr.webp             |16          |
|21 |fideo wakas fusilli multi amaranto 300gr              |Wakas                                  |4.120,49 |200   |productos/fideo_wakas_fusilli_multi_amaranto_300gr.png              |16          |
|22 |fideo wakas fusilli multice quinua 300gr              |Wakas                                  |4.120,49 |345   |productos/fideo_wakas_fusilli_multice_quinua_300gr.png              |16          |
|23 |fideo wakas fusilli multicer chia 300gr               |Wakas                                  |4.120,49 |1.546 |productos/fideo_wakas_fusilli_multicer_chia_300gr.png               |16          |
|24 |fideo wakas fusilli multicer kale 300gr               |Wakas                                  |4.120,49 |1.541 |productos/fideo_wakas_fusilli_multicer_kale_300gr.png               |16          |
|25 |fideo wakas fusilli multicer maiz 300gr               |Wakas                                  |4.120,49 |43.432|productos/fideo_wakas_fusilli_multicer_maiz_300gr.png               |16          |
|26 |fideo wakas penne rigate mult maiz 300gr              |Wakas                                  |4.120,49 |2.324 |productos/fideo_wakas_penne_rigate_mult_maiz_300gr.png              |16          |
|27 |tapa para empanada la salteña sin gluten 12un         |La Salteña                             |3.167,89 |4.322 |productos/tapa_para_empanada_la_salteña_sin_gluten_12un.png         |16          |
|28 |leche ilolay descremada en polvo 400gr                |Ilolay                                 |7.371,59 |700   |productos/leche_ilolay_descremada_en_polvo_400gr.webp               |14          |
|29 |leche ilolay descremada en polvo 800gr                |Ilolay                                 |13.402,42|800   |productos/leche_ilolay_descremada_en_polvo_800gr.webp               |14          |
|30 |leche ilolay entera en polvo 800gr                    |Ilolay                                 |12.184,69|200   |productos/leche_ilolay_entera_en_polvo_800gr.webp                   |14          |
|31 |leche ilolay entera en polvo 800gr                    |Ilolay                                 |12.184,69|300   |productos/leche_ilolay_enteraen_polvo_400gr.webp                    |14          |
|32 |leche la serenisima descr protein 400gr               |La Serenisima                          |11.565,89|584   |productos/leche_la_serenisima_descr_protein_400gr.png               |14          |
|35 |leche la serenisima descremada en polvo 200gr         |La Serenisima                          |3.517,29 |300   |productos/leche_la_serenisima_descremada_en_polvo_200gr.png         |14          |
|36 |leche la serenisima descremada en polvo 400gr         |La Serenisima                          |6.640,39 |800   |productos/leche_la_serenisima_descremada_en_polvo_400gr.png         |14          |
|37 |leche la serenisima entera en polvo 200gr             |La Serenisima                          |3.517,29 |522   |productos/leche_la_serenisima_entera_en_polvo_200gr.png             |14          |
|38 |leche la serenisima entera en polvo 400gr             |La Serenisima                          |7.008,59 |544   |productos/leche_la_serenisima_entera_en_polvo_400gr.png             |14          |
|39 |leche la serenísima entera zero lactosa en polvo 400gr|La Serenisima                          |8.547,79 |800   |productos/leche_la_serenísima_entera_zero_lactosa_en_polvo_400gr.png|14          |
|40 |leche manfrey descremada en polvo 400gr               |Manfrey                                |7.351,79 |200   |productos/leche_manfrey_descremada_en_polvo_400gr.webp              |14          |
|41 |leche manfrey entera en polvo 400gr                   |Manfrey                                |7.155,19 |400   |productos/leche_manfrey_entera_en_polvo_400gr.png                   |14          |
|42 |leche manfrey entera en polvo 800g                    |Manfrey                                |14.323,99|600   |productos/leche_manfrey_entera_en_polvo_800gr.webp                  |14          |
|43 |leche milkaut entera en polvo 800 gr                  |Milkaut                                |11.559,59|544   |productos/leche_milkaut_entera_en_polvo_800_gr.webp                 |14          |
|44 |leche modificada armonía 400gr                        |Armonia                                |7.082,39 |500   |productos/leche_modificada_armonía_400gr.png                        |14          |
|45 |leche modificada armonia en polvo 800gr               |Armonia                                |13.322,39|500   |productos/leche_modificada_armonia_en_polvo_800gr.png               |14          |
|46 |leche modificada la lechera en polvo 800gr            |La Lechera                             |8.517,59 |600   |productos/leche_modificada_la_lechera_en_polvo_800gr.png            |14          |
|47 |leche nido fortigrow 3d lata 750gr                    |Nido                                   |9.982,99 |500   |productos/leche_nido_fortigrow_3d_lata_750gr.png                    |14          |
|48 |leche svelty 0% lactosa 350gr                         |Svelty                                 |8.072,49 |800   |productos/leche_svelty_0lactosa_350gr.png                           |14          |
|49 |aceite de coco kos food neutro 350ml                  |KoS Food                               |10.288,79|356   |productos/aceite_de_coco_kos_food_neutro_350ml.webp                 |20          |
|50 |alfajor chocoarroz marroc 6x22gr                      |Chocoarroz                             |5.505,79 |600   |productos/alfajor_chocoarroz_marroc_6x22gr.png                      |20          |
|51 |alfajor chocoarroz blanco 6x22gr                      |Chocoarroz                             |5.505,79 |588   |productos/alfajor_chocoarroz_blanco_6x22gr.png                      |20          |
